"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value"
"Jug","PHB","none","adventuring gear","","","4 lb.","2 cp"
"Keelboat","DMG","none","Vehicle","","Speed: 1 mphCarrying Capacity: 1/2 ton cargo, 6 passengersCrew 1, AC 15, HP 100, Damage Threshold 10","","3,000 gp"
"Ladder (10-foot)","PHB","none","adventuring gear","","","25 lb.","1 sp"
"Lamp","PHB","none","adventuring gear","","","1 lb.","5 sp"
"Lance","PHB","none","weapon, martial weapon, melee weapon","","1d12, piercing, - reach, special","6 lb.","10 gp"
"Lapis Lazuli","DMG","none","treasure","","","","10 gp"
"Large gold bracelet","DMG","none","treasure","","","","250 gp"
"Large well-made tapestry","DMG","none","treasure","","","","250 gp"
"Laser Pistol","DMG","none","weapon, range, firearm, futuristic, martial weapon","","3d6, radiant, - ammunition (30/120 ft.), reload (50 shots)","2 lb.",""
"Laser Rifle","DMG","none","weapon, range, firearm, futuristic, martial weapon","","3d8, radiant, - ammunition (100/300 ft.), reload (30 shots), two-handed","7 lb.",""
"Leather Armor","PHB","none","light armor","","AC 11 + Dex","10 lb.","10 gp"
"Leatherworker's Tools","PHB","none","Artisan's Tools","","","5 lb.","5 gp"
"Light Crossbow","PHB","none","weapon, range, simple weapon","","1d8, piercing, - ammunition (80/320 ft.), loading, two-handed","5 lb.","25 gp"
"Light Hammer","PHB","none","weapon, simple weapon, melee weapon","","1d4, bludgeoning, - light, thrown (20/60 ft.)","2 lb.","2 gp"
"Light Repeating Crossbow","OotA","unknown","weapon, range, simple weapon","","1d8, piercing, - ammunition (40/160 ft.), two-handed","5 lb.",""
"Linen (1 sq. yd.)","PHB","none","Trade Good","","","","5 gp"
"Loaf of Bread","PHB","none","food and drink","","","","2 cp"
"Lock","PHB","none","adventuring gear","","","1 lb.","10 gp"
"Longbow","PHB","none","weapon, range, martial weapon","","1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed","2 lb.","50 gp"
"Longhorn","SCAG","none","Instrument","","","",""
"Longship","DMG","none","Vehicle","","Speed: 3 mphCarrying Capacity: 10 tons cargo, 150 passengersCrew 40, AC 15, HP 300, Damage Threshold 15","","10,000 gp"
"Longsword","PHB","none","weapon, martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","3 lb.","15 gp"
"Lute","PHB","none","Instrument","","","2 lb.","35 gp"
"Lyre","PHB","none","Instrument","","","2 lb.","30 gp"
"Mace","PHB","none","weapon, simple weapon, melee weapon","","1d6, bludgeoning","4 lb.","5 gp"
"Magnifying Glass","PHB","none","adventuring gear","","","","100 gp"
"Malachite","DMG","none","treasure","","","","10 gp"
"Malice","DMG","none","adventuring gear, poison (inhaled)","","","","250 gp"
"Manacles","PHB","none","adventuring gear","","","6 lb.","2 gp"
"Map or Scroll Case","PHB","none","adventuring gear","","","1 lb.","1 gp"
"Mason's Tools","PHB","none","Artisan's Tools","","","8 lb.","10 gp"
"Mastiff","PHB","none","mount","","Speed: 40, Carrying Capacity: 195 lb.","","25 gp"
"Matchless Pipe","WDH","unknown","other","","","",""
"Maul","PHB","none","weapon, martial weapon, melee weapon","","2d6, bludgeoning, - heavy, two-handed","10 lb.","10 gp"
"Menga leaves (1 ounce)","ToA","unknown","adventuring gear","","","1 oz.","2 gp"
"Merchant's Scale","PHB","none","adventuring gear","","","3 lb.","5 gp"
"Mess Kit","PHB","none","adventuring gear","","","1 lb.","2 sp"
"Midnight Tears","DMG","none","adventuring gear, poison (ingested)","","","","1,500 gp"
"Military Saddle","PHB","none","tack and harness","","","30 lb.","20 gp"
"Miner's Pick","PHB","none","adventuring gear","","","10 lb.","2 gp"
"Modern Bullet","DMG","none","ammunition, modern","","","1.6 oz.",""
"Modern Bullets (10)","DMG","none","ammunition, modern","","","1 lb.",""
"Monster Hunter's Pack","VRGR","none","adventuring gear","","","48½ lb.","33 gp"
"Moonstone","DMG","none","treasure","","","","50 gp"
"Moorbounder","EGW","none","mount","","","","400 gp"
"Morningstar","PHB","none","weapon, martial weapon, melee weapon","","1d8, piercing","4 lb.","15 gp"
"Moss Agate","DMG","none","treasure","","","","10 gp"
"Mule","PHB","none","mount","","Speed: 40, Carrying Capacity: 420 lb.","","8 gp"
"Murgaxor's Elixir of Life","SCC","unknown","adventuring gear","","","",""
"Muroosa Balm","EGW","none","adventuring gear","","","","100 gp"
"Musical Instrument","PHB","none","Instrument","","","",""
"Musical Instrument","SCAG","none","Instrument","","","",""
"Musket","DMG","none","weapon, range, firearm, renaissance, martial weapon","","1d12, piercing, - ammunition (40/120 ft.), loading, two-handed","10 lb.","500 gp"
"Navigator's Tools","PHB","none","tools","","","2 lb.","25 gp"
"Necklace string of small pink pearls","DMG","none","treasure","","","","2,500 gp"
"Net","PHB","none","weapon, range, martial weapon","","special, thrown (5/15 ft.)","3 lb.","1 gp"
"Nib","WDH","none","treasure","","","","1 cp"
"Nimblewright Detector","WDH","unknown","other","","","",""
"Obsidian","DMG","none","treasure","","","","10 gp"
"Obsidian statuette with gold fittings and inlay","DMG","none","treasure","","","","750 gp"
"Oil (flask)","PHB","none","adventuring gear","","","1 lb.","1 sp"
"Oil of Taggit","DMG","none","adventuring gear, poison (contact)","","","","400 gp"
"Old masterpiece painting","DMG","none","treasure","","","","2,500 gp"
"Olisuba Leaf","EGW","none","adventuring gear","","","","50 gp"
"Onyx","DMG","none","treasure","","","","50 gp"
"Opal","DMG","none","treasure","","","","1,000 gp"
"Orb","PHB","none","spellcasting focus","","","3 lb.","20 gp"
"Oversized Longbow","WDH","unknown","weapon, range, martial weapon","","2d6, piercing, - ammunition (150/600 ft.), heavy, two-handed","2 lb.",""
"Ox","PHB","none","Trade Good","","","","15 gp"
"Pack Saddle","PHB","none","tack and harness","","","15 lb.","5 gp"
"Padded Armor","PHB","none","light armor","","AC 11 + Dex","8 lb.","5 gp"
"Painted gold child's sarcophagus","DMG","none","treasure","","","","7,500 gp"
"Painted gold war mask","DMG","none","treasure","","","","750 gp"
"Painter's Supplies","PHB","none","Artisan's Tools","","","5 lb.","10 gp"
"Pair of engraved bone dice","DMG","none","treasure","","","","25 gp"
"Pale Tincture","DMG","none","adventuring gear, poison (ingested)","","","","250 gp"
"Pan Flute","PHB","none","Instrument","","","2 lb.","12 gp"
"Paper (one sheet)","PHB","none","adventuring gear","","","","2 sp"
"Parchment (one sheet)","PHB","none","adventuring gear","","","","1 sp"
"Pearl","DMG","none","treasure","","","","100 gp"
"Pepper","PHB","none","Trade Good","","","1 lb.","2 gp"
"Perfume (vial)","PHB","none","adventuring gear","","","","5 gp"
"Peridot","DMG","none","treasure","","","","500 gp"
"Pig","PHB","none","Trade Good","","","","3 gp"
"Pike","PHB","none","weapon, martial weapon, melee weapon","","1d10, piercing, - heavy, reach, two-handed","18 lb.","5 gp"
"Pistol","DMG","none","weapon, range, firearm, renaissance, martial weapon","","1d10, piercing, - ammunition (30/90 ft.), loading","3 lb.","250 gp"
"Pitcher","PHB","none","adventuring gear","","","4 lb.","2 cp"
"Piton","PHB","none","adventuring gear","","","¼ lb.","5 cp"
"Plate Armor","PHB","none","heavy armor","","AC 18","65 lb.","1,500 gp"
"Platinum","PHB","none","Trade Good","","","1 lb.","500 gp"
"Platinum (pp)","PHB","none","treasure","","","0.32 oz.","10 gp"
"Platinum 10-Zino Coin","GGR","none","treasure","","","","10 gp"
"Platinum 100-Zino Coin","GGR","none","treasure","","","","100 gp"
"Platinum bracelet set with a sapphire","DMG","none","treasure","","","","2,500 gp"
"Playing Card Set","PHB","none","Gaming Set","","","","5 sp"
"Poisoner's Kit","PHB","none","tools","","","2 lb.","50 gp"
"Pole (10-foot)","PHB","none","adventuring gear","","","7 lb.","5 cp"
"Pony","PHB","none","mount","","Speed: 40, Carrying Capacity: 225 lb.","","30 gp"
"Portable Ram","PHB","none","adventuring gear","","","35 lb.","4 gp"
"Potter's Tools","PHB","none","Artisan's Tools","","","3 lb.","10 gp"
"Pouch","PHB","none","adventuring gear","","","1 lb.","5 sp"
"Pride Silk","EGW","none","adventuring gear","","","1 lb.","100 gp"
"Pride Silk Outfit","EGW","none","adventuring gear","","","4 lb.","500 gp"
"Priest's Pack","PHB","none","adventuring gear","","","24 lb.","19 gp"
"Purple Worm Poison","DMG","none","adventuring gear, poison (injury)","","","","2,000 gp"
"Quarterstaff","PHB","none","weapon, simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.","2 sp"
"Quartz","DMG","none","treasure","","","","50 gp"
"Quiver","PHB","none","adventuring gear","","","1 lb.","1 gp"
"Rain Catcher","ToA","none","adventuring gear","","","5 lb.","1 gp"
"Rapier","PHB","none","weapon, martial weapon, melee weapon","","1d8, piercing, - finesse","2 lb.","25 gp"
"Rations (1 day)","PHB","none","adventuring gear","","","2 lb.","5 sp"
"Reliquary","PHB","none","spellcasting focus","","","2 lb.","5 gp"
"Renaissance Bullet","DMG","none","ammunition, renaissance","","","3.2 oz.","3 sp"
"Renaissance Bullets (10)","DMG","none","ammunition, renaissance","","","2 lb.","3 gp"
"Resinous Frog Resin","ToB2","none","other","","","",""
"Revolver","DMG","none","weapon, range, firearm, modern, martial weapon","","2d8, piercing, - ammunition (40/120 ft.), reload (6 shots)","3 lb.",""
"Rhodochrosite","DMG","none","treasure","","","","10 gp"
"Riding Horse","PHB","none","mount","","Speed: 60, Carrying Capacity: 480 lb.","","75 gp"
"Riding Saddle","PHB","none","tack and harness","","","25 lb.","10 gp"
"Ring Mail","PHB","none","heavy armor","","AC 14","40 lb.","30 gp"
"Robes","PHB","none","adventuring gear","","","4 lb.","1 gp"
"Rock Roach Hide","ToB2","none","medium armor","","AC 14 + Dex (max 2)","20 lb.","200 gp"
"Rod","PHB","none","spellcasting focus","","","2 lb.","10 gp"
"Rowboat","DMG","none","Vehicle","","Speed: 1½ mphCarrying Capacity: 3 passengersCrew 1, AC 11, HP 50","100 lb.","50 gp"
"Ruby","DMG","none","treasure","","","","5,000 gp"
"Ryath Root","ToA","unknown","adventuring gear","","","","50 gp"
"Sack","PHB","none","adventuring gear","","","½ lb.","1 cp"
"Saddlebags","PHB","none","tack and harness","","","8 lb.","4 gp"
"Saffron","PHB","none","Trade Good","","","1 lb.","15 gp"
"Sailing Ship","DMG","none","Vehicle","","Speed: 2 mphCarrying Capacity: 100 tons cargo, 20 passengersCrew 20, AC 15, HP 300, Damage Threshold 15","","10,000 gp"
"Salt","PHB","none","Trade Good","","","1 lb.","5 cp"
"Sardonyx","DMG","none","treasure","","","","50 gp"
"Scale Mail","PHB","none","medium armor","","AC 14 + Dex (max 2)","45 lb.","50 gp"
"Scholar's Pack","PHB","none","adventuring gear","","","10 lb.","40 gp"
"Scimitar","PHB","none","weapon, martial weapon, melee weapon","","1d6, slashing, - finesse, light","3 lb.","25 gp"
"Sealing Wax","PHB","none","adventuring gear","","","","5 sp"
"Serpent Venom","DMG","none","adventuring gear, poison (injury)","","","","200 gp"
"Shard","WDH","none","treasure","","","","1 sp"
"Shatterstick","BGDIA","unknown","other","","","",""
"Shawm","PHB","none","Instrument","","","1 lb.","2 gp"
"Shawm","SCAG","none","Instrument","","","",""
"Sheep","PHB","none","Trade Good","","","","2 gp"
"Shield","PHB","none","armor (shield)","","AC +2","6 lb.","10 gp"
"Shortbow","PHB","none","weapon, range, simple weapon","","1d6, piercing, - ammunition (80/320 ft.), two-handed","2 lb.","25 gp"
"Shortsword","PHB","none","weapon, martial weapon, melee weapon","","1d6, piercing, - finesse, light","2 lb.","10 gp"
"Shotgun","DMG","none","weapon, range, firearm, modern, martial weapon","","2d8, piercing, - ammunition (30/90 ft.), reload (2 shots), two-handed","7 lb.",""
"Shovel","PHB","none","adventuring gear","","","5 lb.","2 gp"
"Sickle","PHB","none","weapon, simple weapon, melee weapon","","1d4, slashing, - light","2 lb.","1 gp"
"Signal Whistle","PHB","none","adventuring gear","","","","5 cp"
"Signet Ring","PHB","none","adventuring gear","","","","5 gp"
"Silk (1 sq. yd.)","PHB","none","Trade Good","","","","10 gp"
"Silk Rope (50 feet)","PHB","none","adventuring gear","","","5 lb.","10 gp"
"Silk robe with gold embroidery","DMG","none","treasure","","","","250 gp"
"Silver","PHB","none","Trade Good","","","1 lb.","5 gp"
"Silver (sp)","PHB","none","treasure","","","0.32 oz.","1 sp"
"Silver and gold brooch","DMG","none","treasure","","","","750 gp"
"Silver chalice set with moonstones","DMG","none","treasure","","","","750 gp"
"Silver ewer","DMG","none","treasure","","","","25 gp"
"Silver necklace with a gemstone pendant","DMG","none","treasure","","","","250 gp"
"Silver-plated steel longsword with jet set in hilt","DMG","none","treasure","","","","750 gp"
"Silvered Ammunition","PHB","unknown","ammunition, generic variant","","","",""
"Silvered Weapon","PHB","unknown","generic variant","","","",""
"Sinda berries (10)","ToA","unknown","adventuring gear","","","","5 gp"
"Skyship","EGW","none","Vehicle","","Speed: 10 mphCarrying Capacity: 10 tons cargo, 30 passengersPersonal Travel Cost: 2 gp per mile per passengerShipping Cost: 1 gp per 100 pounds per mileCrew 6-10","","100,000 gp"
"Sled","PHB","none","vehicle (land)","","","300 lb.","20 gp"
"Sled Dog","IDRotF","none","mount","","","","50 gp"
"Sledgehammer","PHB","none","adventuring gear","","","10 lb.","2 gp"
"Sling","PHB","none","weapon, range, simple weapon","","1d4, bludgeoning, - ammunition (30/120 ft.)","","1 sp"
"Sling Bullet","PHB","none","ammunition","","","1.2 oz.","0.2 cp"
"Sling Bullets (20)","PHB","none","ammunition","","","1½ lb.","4 cp"
"Small gold bracelet","DMG","none","treasure","","","","25 gp"
"Small gold idol","DMG","none","treasure","","","","750 gp"
"Small gold statuette set with rubies","DMG","none","treasure","","","","7,500 gp"
"Small mirror set in a painted wooden frame","DMG","none","treasure","","","","25 gp"
"Smith's Tools","PHB","none","Artisan's Tools","","","8 lb.","20 gp"
"Smoke Grenade","DMG","none","explosive, modern","","","2 lb.",""
"Snowshoes","IDRotF","none","adventuring gear","","","4 lb.","2 gp"
"Soap","PHB","none","adventuring gear","","","","2 cp"
"Songhorn","SCAG","none","Instrument","","","",""
"Soothsalts","EGW","none","adventuring gear","","","","150 gp"
"Spear","PHB","none","weapon, simple weapon, melee weapon","","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.","1 gp"
"Spellbook","PHB","none","adventuring gear","","","3 lb.","50 gp"
"Spiked Armor","SCAG","unknown","medium armor","","AC 14 + Dex (max 2)","45 lb.","75 gp"
"Spinel","DMG","none","treasure","","","","100 gp"
"Splint Armor","PHB","none","heavy armor","","AC 17","60 lb.","200 gp"
"Sprig of Mistletoe","PHB","none","spellcasting focus","","","","1 gp"
"Spyglass","PHB","none","adventuring gear","","","1 lb.","1,000 gp"
"Stabling (per day)","PHB","none","tack and harness","","","","5 sp"
"Staff","PHB","none","staff, weapon, spellcasting focus, simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.","5 gp"
"Star Ruby","DMG","none","treasure","","","","1,000 gp"
"Star Sapphire","DMG","none","treasure","","","","1,000 gp"
"Star rose quartz","DMG","none","treasure","","","","50 gp"
"Steel Mirror","PHB","none","adventuring gear","","","½ lb.","5 gp"
"Studded Leather Armor","PHB","none","light armor","","AC 12 + Dex","13 lb.","45 gp"
"Sun","WDH","none","treasure","","","","10 gp"
"Survival Mantle","VGM","unknown","medium armor","","AC 15 + Dex (max 2)","40 lb.",""
"Tangler Grenade","WDMM","none","other","","","",""
"Tankard","PHB","none","adventuring gear","","","1 lb.","2 cp"
"Tantan","SCAG","none","Instrument","","","",""
"Taol","WDH","none","treasure","","","","2 gp"
"Tej","ToA","none","food and drink","","","5 lb.",""
"The Incantations of Iriolarthas","IDRotF","unknown","adventuring gear","","","3 lb.",""
"Theki Root","EGW","none","adventuring gear","","","","3 gp"
"Thelarr","SCAG","none","Instrument","","","",""
"Thessaltoxin","IMR","none","poison (ingested or injury)","","","",""
"Thieves' Tools","PHB","none","tools","","","1 lb.","25 gp"
"Three-Dragon Ante Set","PHB","none","Gaming Set","","","","1 gp"
"Tiger Eye","DMG","none","treasure","","","","10 gp"
"Tinderbox","PHB","none","adventuring gear","","","1 lb.","5 sp"
"Tinker's Tools","PHB","none","Artisan's Tools","","","10 lb.","50 gp"
"Tocken","SCAG","none","Instrument","","","",""
"Tome of Strahd","CoS","none","adventuring gear","","","5 lb.",""
"Topaz","DMG","none","treasure","","","","500 gp"
"Torch","PHB","none","adventuring gear","","","1 lb.","1 cp"
"Torpor","DMG","none","adventuring gear, poison (ingested)","","","","600 gp"
"Totem","PHB","none","spellcasting focus","","","","1 gp"
"Tourmaline","DMG","none","treasure","","","","100 gp"
"Traveler's Clothes","PHB","none","adventuring gear","","","4 lb.","2 gp"
"Trident","PHB","none","weapon, martial weapon, melee weapon","","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","4 lb.","5 gp"
"Trinket","AI","none","adventuring gear","","","",""
"Trinket","CoS","none","adventuring gear","","","",""
"Trinket","EET","none","adventuring gear","","","",""
"Trinket","PHB","none","adventuring gear","","","",""
"Truth Serum","DMG","none","adventuring gear, poison (ingested)","","","","150 gp"
"Turquoise","DMG","none","treasure","","","","10 gp"
"Two-Person Tent","PHB","none","adventuring gear","","","20 lb.","2 gp"
"Vial","PHB","none","adventuring gear","","","","1 gp"
"Vial of Stardust","WDMM","unknown","other","","","",""
"Viol","PHB","none","Instrument","","","1 lb.","30 gp"
"Wagon","PHB","none","vehicle (land)","","","400 lb.","35 gp"
"Wand","PHB","none","spellcasting focus","","","1 lb.","10 gp"
"War Pick","PHB","none","weapon, martial weapon, melee weapon","","1d8, piercing","2 lb.","5 gp"
"Wargong","SCAG","none","Instrument","","","",""
"Warhammer","PHB","none","weapon, martial weapon, melee weapon","","1d8, bludgeoning, - versatile (1d10)","2 lb.","15 gp"
"Warhorse","PHB","none","mount","","Speed: 60, Carrying Capacity: 540 lb.","","400 gp"
"Warship","DMG","none","Vehicle","","Speed: 2½ mphCarrying Capacity: 200 tons cargo, 60 passengersCrew 60, AC 15, HP 500, Damage Threshold 20","","25,000 gp"
"Waterskin","PHB","none","adventuring gear","","","5 lb. (full)","2 sp"
"Weaver's Tools","PHB","none","Artisan's Tools","","","5 lb.","1 gp"
"Wheat","PHB","none","Trade Good","","","1 lb.","1 cp"
"Whetstone","PHB","none","adventuring gear","","","1 lb.","1 cp"
"Whip","PHB","none","weapon, martial weapon, melee weapon","","1d4, slashing, - finesse, reach","3 lb.","2 gp"
"Wildroot","ToA","unknown","adventuring gear","","","","25 gp"
"Willowshade Oil","EGW","none","adventuring gear","","","","30 gp"
"Woodcarver's Tools","PHB","none","Artisan's Tools","","","5 lb.","1 gp"
"Wooden Staff","PHB","none","weapon, spellcasting focus, simple weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.","5 gp"
"Wukka Nut","ToA","unknown","adventuring gear","","","","1 gp"
"Wyrmblood Venom","ToB","none","poison (injury)","","","",""
"Wyvern Poison","DMG","none","adventuring gear, poison (injury)","","","","1,200 gp"
"Yahcha","ToA","none","adventuring gear","","","","1 gp"
"Yarting","SCAG","none","Instrument","","","",""
"Yellow Sapphire","DMG","none","treasure","","","","1,000 gp"
"Yew Wand","PHB","none","spellcasting focus","","","1 lb.","10 gp"
"Yklwa","ToA","none","weapon, simple weapon, melee weapon","","1d8, piercing, - thrown (10/30 ft.)","3 lb.","1 gp"
"Zabou","ToA","none","adventuring gear","","","","10 gp"
"Zircon","DMG","none","treasure","","","","50 gp"