Date,Username,User tag,Content,Mentions,link
"2023-04-25,20:37:02","Matix Cubix","#0729","# Inicio sesión 37","",""
"2023-04-25,20:39:18","Matix Cubix","#0729","Suspendida en el aire, de esta ciudad que ahora sabes que mantiene un horror, vez como se aproxima esa niebla por la calles...","",""
"2023-04-25,20:39:23","Matix Cubix","#0729","Es misma niebla","",""
"2023-04-25,20:43:00","Matix Cubix","#0729","Realmente","",""
"2023-04-25,20:43:12","Matix Cubix","#0729","Sientes como ha cambiado el ambiente de la ciudad","",""
"2023-04-25,20:43:19","Matix Cubix","#0729","Ahora se siente mucho más opresivo","",""
"2023-04-25,20:43:37","Matix Cubix","#0729","Es como que algo intentara acercarse a ti de la distancia","",""
"2023-04-25,20:43:57","Matix Cubix","#0729","Como si de un macrofago","",""
"2023-04-25,20:43:59","Matix Cubix","#0729","Se tratase","",""
"2023-04-25,20:44:05","Matix Cubix","#0729","Aunque no sabes que es un macrofago","",""
"2023-04-25,20:44:09","Magdars","#7109","sigo el camino que siguió flint en el sueño","",""
"2023-04-25,20:44:13","Magdars","#7109","bien desde arriba","",""
"2023-04-25,20:44:36","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 1d20 (5) + 2
**Total**: 7","Magdars#7109",""
"2023-04-25,20:44:56","Matix Cubix","#0729","No sabes muy bien hacia donde dirigirte","",""
"2023-04-25,20:45:00","Matix Cubix","#0729","Pero flint si sabe","",""
"2023-04-25,20:45:06","Matix Cubix","#0729","Aunque","",""
"2023-04-25,20:45:12","Matix Cubix","#0729","no quiere llevarte","",""
"2023-04-25,20:46:05","Magdars","#7109","le digo que tenemos que sacar a esa cosa de aquí","",""
"2023-04-25,20:46:14","Matix Cubix","#0729","Flint esta asustado","",""
"2023-04-25,20:46:30","Matix Cubix","#0729","Dice que es mejor no acercarse","",""
"2023-04-25,20:46:59","Matix Cubix","#0729","o crees que eso quiere comunicar","",""
"2023-04-25,20:46:59","Magdars","#7109","le digo que si no nos va a atacar cuando vengamos con los demás","",""
"2023-04-25,20:47:41","Matix Cubix","#0729","No volvamos","",""
"2023-04-25,20:47:56","Magdars","#7109","tenemos que reparar el contenedor del esferón","",""
"2023-04-25,20:47:58","Magdars","#7109","no tenemos opción","",""
"2023-04-25,20:48:41","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 1d20 (16) + 5
**Total**: 21","Magdars#7109",""
"2023-04-25,20:48:56","Matix Cubix","#0729","Flint: ...","",""
"2023-04-25,20:49:03","Matix Cubix","#0729","Te da a entender que tienes razón","",""
"2023-04-25,20:49:18","Matix Cubix","#0729","Y procede a mostrarte donde fue que el fue la otra vez","",""
"2023-04-25,20:49:54","Magdars","#7109","voy","",""
"2023-04-25,20:51:59","Matix Cubix","#0729","Vas flotando por los cielos de la ciudad","",""
"2023-04-25,20:52:16","Matix Cubix","#0729","La calles de esta misma ya se encuentran pobladas de esta espesa neblina","",""
"2023-04-25,20:52:40","Matix Cubix","#0729","A veces ves sombras moverse en estas","",""
"2023-04-25,20:53:01","Matix Cubix","#0729","O que oscilan lentamente.","",""
"2023-04-25,20:53:19","Matix Cubix","#0729","En las torres asediadas de la ciudad","",""
"2023-04-25,20:53:22","Matix Cubix","#0729","Puedes ver cuerpos","",""
"2023-04-25,20:53:28","Matix Cubix","#0729","Tirados en el piso","",""
"2023-04-25,20:53:30","Matix Cubix","#0729","O esqueletos","",""
"2023-04-25,20:53:54","Matix Cubix","#0729","Notas que el camino que te lleva flint","",""
"2023-04-25,20:54:03","Matix Cubix","#0729","Es escencialemente de donde parece salir la niebla","",""
"2023-04-25,20:54:22","Matix Cubix","#0729","Despues de un rato que tiendes el vuelo","",""
"2023-04-25,20:54:29","Matix Cubix","#0729","Puedes reconocer el lugaar del sueño","",""
"2023-04-25,20:54:35","Matix Cubix","#0729","Un callejón","",""
"2023-04-25,20:54:48","Matix Cubix","#0729","Estrecho quizas","",""
"2023-04-25,20:54:56","Matix Cubix","#0729","Pero sin dudas parece que ese es elugar","",""
"2023-04-25,20:55:04","Magdars","#7109","voy","",""
"2023-04-25,20:55:05","Matix Cubix","#0729","Te atreves a adentrarte?","",""
"2023-04-25,20:55:22","Matix Cubix","#0729","Pues te adentras en ese callejon","",""
"2023-04-25,20:55:29","Matix Cubix","#0729","Que como forma de boca tuviera","",""
"2023-04-25,20:55:38","Matix Cubix","#0729","La niebla es espesa","",""
"2023-04-25,20:55:44","Matix Cubix","#0729","Y ya te encuentras al nivel del piso","",""
"2023-04-25,20:56:01","Matix Cubix","#0729","Parecería ser que tu forma gaseosa se mezcla bien con la misma niebla.","",""
"2023-04-25,20:56:14","Matix Cubix","#0729","Hazme una tirada de stealth con ventaja","",""
"2023-04-25,20:56:48","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 2d20kh1 (~~18~~, **20**) + 1
**Total**: 21","Magdars#7109",""
"2023-04-25,20:57:21","Matix Cubix","#0729","Te mezclas con la niebla","",""
"2023-04-25,20:57:41","Matix Cubix","#0729","Y logras ver al final la misma entrada que vio flint","",""
"2023-04-25,20:57:46","Matix Cubix","#0729","Una escalera","",""
"2023-04-25,20:57:51","Matix Cubix","#0729","en diagonal","",""
"2023-04-25,20:58:16","Matix Cubix","#0729","Te adentras","",""
"2023-04-25,20:58:28","Matix Cubix","#0729","Vas bajando lentamente","",""
"2023-04-25,21:25:28","Matix Cubix","#0729","Escuchas la tierra moverse","",""
"2023-04-25,21:25:55","Matix Cubix","#0729","Y como emerge una onda opresiva","",""
"2023-04-25,21:26:15","Matix Cubix","#0729","...","",""
"2023-04-25,21:26:23","Matix Cubix","#0729","Despues de un rato de bajar","",""
"2023-04-25,21:26:37","Matix Cubix","#0729","Notas que llegas a un tipo de cloacas","",""
"2023-04-25,21:26:51","Matix Cubix","#0729","Donde escurre el agua","",""
"2023-04-25,21:27:05","Matix Cubix","#0729","Sale un olor pútrido","",""
"2023-04-25,21:31:48","Matix Cubix","#0729","Llegas a un lugar que parece terminar la bajada de las escaleras","",""
"2023-04-25,21:31:56","Matix Cubix","#0729","A un costado hay unas varandas","",""
"2023-04-25,21:32:07","Matix Cubix","#0729","Donde más abajo parecen estar las cloacas","",""
"2023-04-25,21:32:12","Matix Cubix","#0729","Donde escurre el agua","",""
"2023-04-25,21:32:17","Matix Cubix","#0729","Parecen haber varios aqueductos","",""
"2023-04-25,21:32:28","Matix Cubix","#0729","La espesa niebla rodea todo el lugar","",""
"2023-04-25,21:33:19","Matix Cubix","#0729","Existen 3 conductos más abajos","",""
"2023-04-25,21:33:28","Matix Cubix","#0729","Unidos por una escalera que lleva al nivel del agua","",""
"2023-04-25,21:33:33","Matix Cubix","#0729","Que parece estar estancada","",""
"2023-04-25,21:33:55","Matix Cubix","#0729","Parece que el camino se separa en 3","",""
"2023-04-25,21:34:50","Magdars","#7109","quiero seguir a flint","",""
"2023-04-25,21:34:54","Magdars","#7109","y hacer el recorrido que hizo el","",""
"2023-04-25,21:35:32","Matix Cubix","#0729","El camino que parece que recorrio flint fue el de al frente","",""
"2023-04-25,21:35:37","Matix Cubix","#0729","Pasado el canal","",""
"2023-04-25,21:35:48","Magdars","#7109","sigo ese camino entonces","",""
"2023-04-25,21:35:48","Matix Cubix","#0729","Tomo el derecho","",""
"2023-04-25,21:36:03","Matix Cubix","#0729","Te dificulta mucho ver","",""
"2023-04-25,21:36:13","Matix Cubix","#0729","Gracias a flint puedes er un poco mejor","",""
"2023-04-25,21:36:36","Matix Cubix","#0729","Tomas ese camino.","",""
"2023-04-25,21:36:58","Matix Cubix","#0729","Parece ser un tunel largo","",""
"2023-04-25,21:37:42","Matix Cubix","#0729","Escuchas sonidos más adelante","",""
"2023-04-25,21:38:00","Magdars","#7109","me apego al techo y sigo","",""
"2023-04-25,21:38:24","Matix Cubix","#0729","Ves una silueta oscura","",""
"2023-04-25,21:38:27","Matix Cubix","#0729","Pasar","",""
"2023-04-25,21:38:31","Matix Cubix","#0729","Por debajo","",""
"2023-04-25,21:38:45","Matix Cubix","#0729","A primera impresión","",""
"2023-04-25,21:38:51","Matix Cubix","#0729","Parece tener forma humanoide","",""
"2023-04-25,21:39:06","Matix Cubix","#0729","Sigue su camino","",""
"2023-04-25,21:39:11","Matix Cubix","#0729","No logars ver muy bien","",""
"2023-04-25,21:40:56","Matix Cubix","#0729","En cierto instante","",""
"2023-04-25,21:41:06","Matix Cubix","#0729","Ves que el tunel se parte en dos","",""
"2023-04-25,21:41:21","Matix Cubix","#0729","Y parece abrirse","",""
"2023-04-25,21:41:31","Matix Cubix","#0729","Hacia un sector mucho más amplio","",""
"2023-04-25,21:41:38","Matix Cubix","#0729","Donde hay agua estancada","",""
"2023-04-25,21:41:49","Matix Cubix","#0729","En grandes cantidades","",""
"2023-04-25,21:42:08","Matix Cubix","#0729","Esta bien oscuro","",""
"2023-04-25,21:42:45","Matix Cubix","#0729","Flint parece que tomo un camino hacia la derecha","",""
"2023-04-25,21:42:53","Matix Cubix","#0729","Pero no había agua antes","",""
"2023-04-25,21:43:16","Matix Cubix","#0729","Avanzas por la niebla","",""
"2023-04-25,21:43:20","Matix Cubix","#0729","Y el agua en el suelo","",""
"2023-04-25,21:43:30","Matix Cubix","#0729","Sientes que hay cosas en el agua","",""
"2023-04-25,21:43:38","Matix Cubix","#0729","Y a veces salen burbujas","",""
"2023-04-25,21:44:28","Matix Cubix","#0729","Notas que unas burbujas esta lentamente acercandose a ti","",""
"2023-04-25,21:44:45","Magdars","#7109","desde abajo_","",""
"2023-04-25,21:44:47","Magdars","#7109","?","",""
"2023-04-25,21:44:48","Matix Cubix","#0729","Si","",""
"2023-04-25,21:44:51","Matix Cubix","#0729","Que haces?","",""
"2023-04-25,21:44:57","Magdars","#7109","la esquivo","",""
"2023-04-25,21:45:12","Matix Cubix","#0729","Las burbujas siguen el camino","",""
"2023-04-25,21:45:18","Matix Cubix","#0729","Pero en cierto instante se detienen","",""
"2023-04-25,21:45:28","Matix Cubix","#0729","Y se vuelcan nuevamente hacia ti","",""
"2023-04-25,21:45:38","Matix Cubix","#0729","En ese entonces","",""
"2023-04-25,21:45:43","Matix Cubix","#0729","Parece salir algo del agua","",""
"2023-04-25,21:45:50","Matix Cubix","#0729","Al notar un poco","",""
"2023-04-25,21:45:54","Matix Cubix","#0729","Parece ser un cerebro","",""
"2023-04-25,21:46:02","Magdars","#7109","es el mismo?","",""
"2023-04-25,21:46:11","Matix Cubix","#0729","No","",""
"2023-04-25,21:46:16","Matix Cubix","#0729","Este parece ser más pequeño","",""
"2023-04-25,21:46:26","Matix Cubix","#0729","Y sigue acercandose","",""
"2023-04-25,21:46:36","Matix Cubix","#0729","Haces ago?","",""
"2023-04-25,21:46:41","Magdars","#7109","me alejo","",""
"2023-04-25,21:46:49","Magdars","#7109","si puedo entro por alguna ranura que haya en el techo","",""
"2023-04-25,21:46:52","Magdars","#7109","para perderlo","",""
"2023-04-25,21:46:58","Magdars","#7109","o paso por algún espacio por el que no quepa","",""
"2023-04-25,21:47:19","Matix Cubix","#0729","Tirame por iniciativa","",""
"2023-04-25,21:47:32","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 1d20 (17) + 1
**Total**: 18","Magdars#7109",""
"2023-04-25,21:47:45","Matix Cubix","#0729","Tu turno","",""
"2023-04-25,21:47:54","Matix Cubix","#0729","Te alejas en que sentido?","",""
"2023-04-25,21:48:05","Magdars","#7109","la cosa está abajo mío?","",""
"2023-04-25,21:48:13","Matix Cubix","#0729","esta a 30 pies tuyos","",""
"2023-04-25,21:49:02","Magdars","#7109","sigo la dirección hacia la que quería ir","",""
"2023-04-25,21:49:09","Magdars","#7109","buscando algún lugar donde me pueda meter","",""
"2023-04-25,21:49:14","Magdars","#7109","tal que el cerebro no quepa","",""
"2023-04-25,21:50:28","Matix Cubix","#0729","Te encuentras a 100 pies en el techo","",""
"2023-04-25,21:50:52","Matix Cubix","#0729","Avanzas por el camino mientras vez como el cerebro te sigue por el suelo","",""
"2023-04-25,21:51:44","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 2d20kl1 (2, ~~10~~) + 8
**Total**: 10","Magdars#7109",""
"2023-04-25,21:52:27","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 1d20 (2) + 5
**Total**: 7","Magdars#7109",""
"2023-04-25,21:52:50","Matix Cubix","#0729","Ciertamente no sabes lo que es, pero no es parecido a lo que viste con Flint, tampoco sabes como es posible que te pueda ver.","",""
"2023-04-25,21:53:12","Matix Cubix","#0729","Continuas avanzando","",""
"2023-04-25,21:53:15","Matix Cubix","#0729","Eventualmente","",""
"2023-04-25,21:53:41","Matix Cubix","#0729","Parecería que el cerebro se detiene","",""
"2023-04-25,21:53:46","Matix Cubix","#0729","Y se empieza a devolver.","",""
"2023-04-25,21:54:51","Matix Cubix","#0729","Ves más siluetas","",""
"2023-04-25,21:54:59","Matix Cubix","#0729","Humanoides","",""
"2023-04-25,21:55:05","Magdars","#7109","en el agua=","",""
"2023-04-25,21:55:06","Magdars","#7109","?","",""
"2023-04-25,21:55:06","Matix Cubix","#0729","Llendo en tu dirección opuesta","",""
"2023-04-25,21:55:08","Matix Cubix","#0729","Si","",""
"2023-04-25,21:55:25","Matix Cubix","#0729","Las escuchas","",""
"2023-04-25,21:55:30","Matix Cubix","#0729","Hablar","",""
"2023-04-25,21:55:36","Matix Cubix","#0729","En un idioma que desconoces","",""
"2023-04-25,21:55:59","Magdars","#7109","intento recordar algún sonido que se repita harto","",""
"2023-04-25,21:56:13","Matix Cubix","#0729","Mmmh","",""
"2023-04-25,21:56:15","Magdars","#7109","de lo que dicen","",""
"2023-04-25,21:56:15","Matix Cubix","#0729","Su idioma","",""
"2023-04-25,21:56:20","Matix Cubix","#0729","Es bien caótico","",""
"2023-04-25,21:56:28","Matix Cubix","#0729","Tiene demasiadas consonantes","",""
"2023-04-25,21:56:39","Matix Cubix","#0729","Y parecen ser más golpes","",""
"2023-04-25,21:56:41","Matix Cubix","#0729","Que palabras","",""
"2023-04-25,21:57:07","Matix Cubix","#0729","Puedes hacerme una tirada de inteligencia","",""
"2023-04-25,21:57:12","Matix Cubix","#0729","Para ver si encuentras un patrón","",""
"2023-04-25,21:57:19","Matix Cubix","#0729","En ese lenguaje tan extraño","",""
"2023-04-25,21:57:23","Magdars","#7109","investigación?","",""
"2023-04-25,21:57:29","Matix Cubix","#0729","Claro","",""
"2023-04-25,21:57:31","Avrae","#6944","<@455883637452177429>  :game_die:
**Result**: 1d20 (18) + 8
**Total**: 26","Magdars#7109",""
"2023-04-25,21:57:36","Matix Cubix","#0729","Ciertamente","",""
"2023-04-25,21:57:46","Matix Cubix","#0729","Ves que lo común es ese caos","",""
"2023-04-25,21:57:57","Matix Cubix","#0729","Reconoces que tiene una cierta estructura","",""
"2023-04-25,21:58:09","Matix Cubix","#0729","Pero que desconoces su  raíz","",""
"2023-04-25,21:58:13","Matix Cubix","#0729","Puedes repetirla","",""
"2023-04-25,21:58:16","Matix Cubix","#0729","Y esperar algo","",""
"2023-04-25,21:58:37","Magdars","#7109","repetirla'","",""
"2023-04-25,21:58:38","Magdars","#7109","?","",""
"2023-04-25,21:58:43","Matix Cubix","#0729","Si","",""
"2023-04-25,21:58:48","Magdars","#7109","no entiendo","",""
"2023-04-25,21:58:53","Matix Cubix","#0729","Sigo imitarla","",""
"2023-04-25,21:58:58","Matix Cubix","#0729","Con menor ilusi6","",""
"2023-04-25,21:59:03","Matix Cubix","#0729","Si quisiesen","",""
"2023-04-25,21:59:07","Matix Cubix","#0729","Quicieses","",""
"2023-04-25,21:59:09","Magdars","#7109","ya genial","",""
"2023-04-25,22:00:16","Matix Cubix","#0729","Continuas","",""
"2023-04-25,22:00:25","Matix Cubix","#0729","Llegas a lo que parece ser","",""
"2023-04-25,22:01:00","Matix Cubix","#0729","Una entrada","",""
"2023-04-25,22:01:05","Matix Cubix","#0729","En forma piramidal","",""
"2023-04-25,22:01:11","Matix Cubix","#0729","Invertida","",""
"2023-04-25,22:01:39","Matix Cubix","#0729","Luces verdes y tenues rodean el lugar","",""
"2023-04-25,22:02:01","Matix Cubix","#0729","Es","",""
"2023-04-25,22:02:12","Matix Cubix","#0729","Algo que resalta claramente","",""
"2023-04-25,22:02:17","Matix Cubix","#0729","De la arquitectura enana","",""
"2023-04-25,22:02:27","Magdars","#7109","no es enano?","",""
"2023-04-25,22:02:30","Matix Cubix","#0729","Las esquinas","",""
"2023-04-25,22:02:35","Matix Cubix","#0729","Son distintas","",""
"2023-04-25,22:02:43","Matix Cubix","#0729","Y tiene formas mucjo más intrincadas","",""
"2023-04-25,22:02:53","Matix Cubix","#0729","Y de color más oscuro","",""
"2023-04-25,22:03:15","Matix Cubix","#0729","Ahora es cuando notas que","",""
"2023-04-25,22:03:22","Matix Cubix","#0729","Esta gran piscina","",""
"2023-04-25,22:03:30","Matix Cubix","#0729","Su piso","",""
"2023-04-25,22:03:37","Matix Cubix","#0729","Parecería estar hecho de este material","",""
"2023-04-25,22:03:45","Matix Cubix","#0729","Solo por la luz también notas","",""
"2023-04-25,22:03:54","Matix Cubix","#0729","Cadenas que cuelgan del piso","",""
"2023-04-25,22:04:09","Matix Cubix","#0729","Atadas al piso digo","",""
"2023-04-25,22:04:17","Magdars","#7109","cómo están las cadenas?","",""
"2023-04-25,22:04:28","Matix Cubix","#0729","Tensas","",""
"2023-04-25,22:04:37","Matix Cubix","#0729","Que si estuvieran sosteniendo el piso mismo","",""
"2023-04-25,22:04:43","Magdars","#7109","no digo, de dónde salen y qué sostienen?","",""
"2023-04-25,22:04:46","Matix Cubix","#0729","Todo este lugar","",""
"2023-04-25,22:05:10","Matix Cubix","#0729","Parecen venir del techo","",""
"2023-04-25,22:05:47","Matix Cubix","#0729","Y las cadenas parecerían salir de un mecanismo que no conoces del techo","",""
"2023-04-25,22:06:23","Magdars","#7109","busco al cerebro","",""
"2023-04-25,22:06:37","Matix Cubix","#0729","Parece venir de la entrada piramidal","",""
